"","consumerID","rating","rockyID"
"1",1734805,5,1
"2",364518,4,1
"3",1392773,3,1
"4",716091,4,1
"5",1697479,4,1
"6",712664,5,1
"7",1990901,4,1
"8",479062,5,1
"9",1604980,4,1
"10",1907667,5,1
"11",554875,3,1
"12",69867,4,1
"13",1601783,4,1
"14",719234,4,1
"15",1993470,4,1
"16",306466,3,1
"17",1278813,5,1
"18",1481271,4,1
"19",1966165,5,1
"20",2060397,3,1
"21",2439005,4,1
"22",477388,4,1
"23",1331154,3,1
"24",765331,5,1
"25",1513370,4,1
"26",2480084,5,1
"27",1380819,5,1
"28",754082,4,1
"29",1945809,4,1
"30",388088,5,1
"31",1116671,5,1
"32",276813,4,1
"33",2472268,3,1
"34",66568,5,1
"35",1794216,5,1
"36",132390,4,1
"37",2428115,2,1
"38",1212306,3,1
"39",1844276,4,1
"40",1109700,5,1
"41",779760,4,1
"42",2557878,2,1
"43",2043746,4,1
"44",2400678,5,1
"45",982814,3,1
"46",1697399,5,1
"47",175214,2,1
"48",2422606,4,1
"49",978306,5,1
"50",770961,4,1
"51",2514372,4,1
"52",2153518,1,1
"53",2354291,5,1
"54",30878,4,1
"55",790689,4,1
"56",2641857,3,1
"57",491770,2,1
"58",1515501,4,1
"59",1863853,4,1
"60",223752,3,1
"61",2445646,2,1
"62",921064,3,1
"63",1910881,4,1
"64",785314,1,1
"65",732618,5,1
"66",2079291,4,1
"67",1914384,5,1
"68",1331887,3,1
"69",753886,3,1
"70",504233,5,1
"71",546578,4,1
"72",745544,3,1
"73",1273146,5,1
"74",970627,4,1
"75",1237328,3,1
"76",139053,4,1
"77",369430,3,1
"78",193498,3,1
"79",2084572,3,1
"80",780597,4,1
"81",143278,5,1
"82",1224344,3,1
"83",2451053,5,1
"84",1561326,2,1
"85",1700625,2,1
"86",2615678,3,1
"87",1276913,4,1
"88",705162,4,1
"89",887273,4,1
"90",42362,4,1
"91",1172232,4,1
"92",1463145,3,1
"93",1663216,3,1
"94",2367275,5,1
"95",1488957,3,1
"96",1832699,2,1
"97",33916,3,1
"98",697038,4,1
"99",2196868,4,1
"100",426397,5,1
"101",1205593,5,1
"102",900816,5,1
"103",1206156,5,1
"104",1744889,3,1
"105",2569320,5,1
"106",1850680,3,1
"107",2314362,4,1
"108",1519388,4,1
"109",2440364,4,1
"110",1565388,5,1
"111",1635484,5,1
"112",1215826,1,1
"113",1627614,4,1
"114",1767412,4,1
"115",656399,4,1
"116",1526264,3,1
"117",1880037,4,1
"118",2628220,4,1
"119",221033,5,1
"120",2560405,4,1
"121",2257304,5,1
"122",2111422,5,1
"123",395744,3,1
"124",1219191,5,1
"125",1174530,4,1
"126",1818178,5,1
"127",314837,3,1
"128",1322169,4,1
"129",31522,4,1
"130",1459553,3,1
"131",339448,5,1
"132",679929,5,1
"133",1319997,4,1
"134",215797,5,1
"135",1166661,3,1
"136",66187,4,1
"137",991931,4,1
"138",1268697,4,1
"139",1008399,3,1
"140",2259964,5,1
"141",1019903,4,1
"142",333490,3,1
"143",848443,3,1
"144",2031561,4,1
"145",2573579,4,1
"146",2036099,2,1
"147",159007,2,1
"148",1140579,3,1
"149",612865,3,1
"150",379558,2,1
"151",1253418,3,1
"152",2098867,3,1
"153",1825068,1,1
"154",1327295,5,1
"155",2630287,2,1
"156",1568648,4,1
"157",25382,5,1
"158",1042853,5,1
"159",727449,5,1
"160",557167,4,1
"161",39956,4,1
"162",2360117,4,1
"163",829326,3,1
"164",637973,4,1
"165",1047331,4,1
"166",2502462,3,1
"167",1068777,4,1
"168",532713,3,1
"169",90246,4,1
"170",1179646,5,1
"171",530441,5,1
"172",1012119,3,1
"173",1277134,3,1
"174",139297,4,1
"175",1052289,4,1
"176",1671535,2,1
"177",1016721,4,1
"178",1032095,3,1
"179",1830119,5,1
"180",2551060,3,1
"181",2508198,4,1
"182",160876,4,1
"183",1379923,3,1
"184",1768932,3,1
"185",1074029,5,1
"186",2266550,5,1
"187",439931,3,1
"188",2160573,4,1
"189",2037339,4,1
"190",949986,4,1
"191",2007993,4,1
"192",1620761,5,1
"193",1626389,3,1
"194",70244,3,1
"195",464095,2,1
"196",519545,4,1
"197",1076258,4,1
"198",2241806,5,1
"199",2046595,5,1
"200",1241021,4,1
"201",1739854,3,1
"202",1583311,1,1
"203",1936617,3,1
"204",122167,5,1
"205",2109867,5,1
"206",86767,4,1
"207",1562558,5,1
"208",1127380,3,1
"209",2330282,3,1
"210",862045,5,1
"211",890144,4,1
"212",2484791,5,1
"213",11203,5,1
"214",368647,5,1
"215",644827,5,1
"216",1934982,5,1
"217",488477,5,1
"218",1973061,4,1
"219",2578581,3,1
"220",798777,5,1
"221",308495,4,1
"222",1479946,5,1
"223",2491255,3,1
"224",1148624,3,1
"225",1296163,3,1
"226",197443,3,1
"227",1753259,3,1
"228",532579,2,1
"229",780936,5,1
"230",985207,4,1
"231",205618,5,1
"232",630851,4,1
"233",185068,4,1
"234",1348972,4,1
"235",282391,4,1
"236",2100978,4,1
"237",2271228,5,1
"238",2071969,4,1
"239",1292622,4,1
"240",2543563,5,1
"241",512852,4,1
"242",2515522,3,1
"243",2238860,5,1
"244",1449116,4,1
"245",1051350,5,1
"246",965190,3,1
"247",517513,4,1
"248",1056998,4,1
"249",1927570,3,1
"250",1149472,3,1
"251",1031995,5,1
"252",633159,4,1
"253",755735,3,1
"254",141932,4,1
"255",464539,4,1
"256",735329,3,1
"257",2395754,3,1
"258",971255,4,1
"259",1359983,3,1
"260",724316,4,1
"261",2602019,3,1
"262",942914,4,1
"263",178131,5,1
"264",1639705,3,1
"265",1242432,4,1
"266",693789,5,1
"267",1273567,3,1
"268",1948839,4,1
"269",1488894,3,1
"270",2385934,5,1
"271",442739,5,1
"272",2520143,4,1
"273",357521,4,1
"274",393953,5,1
"275",1230444,5,1
"276",2358414,4,1
"277",463218,4,1
"278",515851,5,1
"279",1370157,5,1
"280",875019,3,1
"281",2366007,5,1
"282",1103135,4,1
"283",2193455,4,1
"284",1574786,3,1
"285",2452344,4,1
"286",946164,4,1
"287",349387,3,1
"288",2332858,5,1
"289",903692,4,1
"290",1209160,3,1
"291",2435946,4,1
"292",1837492,5,1
"293",1479087,3,1
"294",889439,3,1
"295",2296008,5,1
"296",1527113,4,1
